Impl,N,ns,ns/op
naive,1000,141968200,0.866094
naive,1000,188280700,1.148629
naive,1500,478026400,1.295104
naive,2000,835494800,1.272850
naive,4500,4643886000,1.396788
naive,1500,624548900,1.692074
naive,4500,5204477200,1.565403
naive,2500,1180740900,1.151128
naive,1000,165943100,1.012356
naive,4500,5211610900,1.567548
naive,500,55411800,1.354344
naive,2500,1515097100,1.477098
naive,1500,542239200,1.469074
naive,3000,2465215100,1.668811
naive,2000,736853000,1.122573
naive,3000,2410990500,1.632104
naive,4500,4228329200,1.271797
naive,5000,5895071800,1.436079
naive,1500,486612400,1.318366
naive,4000,3321280000,1.264390
naive,4000,3551629300,1.352083
naive,1000,212707800,1.297649
naive,2000,1074826100,1.637464
naive,1500,740454900,2.006095
naive,3500,2793712200,1.389239
naive,2500,1296598500,1.264080
naive,1000,350073000,2.135662
naive,3000,2400637600,1.625096
naive,2500,904461900,0.881778
naive,3500,2964927300,1.474379
naive,4000,3509748000,1.336139
naive,2500,1564807500,1.525562
naive,4000,3950368400,1.503880
naive,500,49749400,1.215947
naive,2500,1348129800,1.314318
naive,1500,518472100,1.404683
naive,1000,281551800,1.717640
naive,2000,1253281400,1.909335
naive,2000,805824800,1.227649
naive,2000,1107061200,1.686573
naive,3000,2494911100,1.688913
naive,2500,1314562400,1.281593
naive,5000,6656590700,1.621590
naive,3000,2075064500,1.404701
naive,4500,4592094400,1.381210
naive,1500,518480600,1.404706
naive,500,77161800,1.885946
naive,5000,6648227900,1.619553
naive,3000,2463048700,1.667344
naive,500,36395500,0.889559
naive,1500,347616300,0.941788
naive,3500,2328070700,1.157688
naive,5000,5731464000,1.396223
naive,3500,3112678700,1.547852
naive,5000,6222992100,1.515962
naive,500,77786200,1.901207
naive,4500,5454225200,1.640522
naive,1000,210048700,1.281427
naive,500,38607900,0.943633
naive,2500,1897647400,1.850054
naive,500,61615800,1.505979
naive,1000,220310800,1.344032
naive,3500,3013434900,1.498501
naive,4500,4855320700,1.460383
naive,4000,3375012800,1.284846
naive,4500,4305614200,1.295043
naive,1000,305690000,1.864898
naive,2500,1395746000,1.360740
naive,3000,1880440400,1.272952
naive,4000,3067157400,1.167647
naive,2000,877779000,1.337269
naive,4000,2975426300,1.132726
naive,2500,1092852300,1.065443
naive,1500,456057800,1.235585
naive,4500,3963151800,1.192037
naive,3500,2158287500,1.073259
naive,500,36320200,0.887718
naive,2000,759224100,1.156654
naive,3000,1533037700,1.037780
naive,2000,1130514500,1.722304
naive,3500,2480027100,1.233251
naive,3500,2688599900,1.336969
naive,500,76036000,1.858430
naive,4500,4808950300,1.446436
naive,3000,1409137400,0.953906
naive,5000,4641842800,1.130784
naive,4000,3950801800,1.504045
naive,500,97110300,2.373516
naive,5000,4794578300,1.167991
naive,3000,1645379600,1.113829
naive,1000,144085100,0.879008
naive,5000,4910929600,1.196335
naive,4000,3674717600,1.398942
naive,2000,601114800,0.915780
naive,5000,4658675600,1.134884
naive,3500,2427913500,1.207337
naive,5000,4879604200,1.188704
naive,4000,3464807100,1.319030
naive,1500,631984400,1.712219
naive,3500,2789399300,1.387094
optimized,1000,291759800,1.832489
optimized,1000,283486600,1.780526
optimized,1500,707516600,1.973458
optimized,2000,1165898900,1.828641
optimized,4500,6220741300,1.926288
optimized,1500,508985900,1.419702
optimized,4500,5908191200,1.829505
optimized,2500,2006748700,2.014165
optimized,1000,347633400,2.183420
optimized,4500,6143814600,1.902467
optimized,500,50621200,1.273797
optimized,2500,1642301600,1.648371
optimized,1500,962960400,2.685961
optimized,3000,2605589500,1.815892
optimized,2000,1151232800,1.805638
optimized,3000,3070804400,2.140110
optimized,4500,6270225600,1.941611
optimized,5000,6609008900,1.657505
optimized,1500,920854500,2.568516
optimized,4000,5220432000,2.046034
optimized,4000,4437902300,1.739339
optimized,1000,342300400,2.149925
optimized,2000,1565511800,2.455409
optimized,1500,667213700,1.861042
optimized,3500,4102081200,2.100050
optimized,2500,3036561800,3.047784
optimized,1000,351224700,2.205977
optimized,3000,3786438800,2.638851
optimized,2500,2077757600,2.085436
optimized,3500,4073318600,2.085325
optimized,4000,6131756500,2.403208
optimized,2500,2699359100,2.709335
optimized,4000,5832049700,2.285744
optimized,500,73800900,1.857075
optimized,2500,2158489200,2.166466
optimized,1500,893817500,2.493103
optimized,1000,430203400,2.702027
optimized,2000,1658053600,2.600555
optimized,2000,1513884900,2.374435
optimized,2000,1804989800,2.831016
optimized,3000,3456315100,2.408781
optimized,2500,2266321300,2.274697
optimized,5000,9304895100,2.333619
optimized,3000,3552797800,2.476022
optimized,4500,7707136200,2.386559
optimized,1500,896067300,2.499378
optimized,500,63631200,1.601172
optimized,5000,9721742500,2.438162
optimized,3000,2919891900,2.034936
optimized,500,90784300,2.284433
optimized,1500,739754900,2.063380
optimized,3500,3507051000,1.795426
optimized,5000,9781702700,2.453200
optimized,3500,4684365100,2.398148
optimized,5000,7267220400,1.822581
optimized,500,112738800,2.836881
optimized,4500,6874514100,2.128733
optimized,1000,212118600,1.332277
optimized,500,70388500,1.771208
optimized,2500,2704332700,2.714327
optimized,500,105218000,2.647633
optimized,1000,427286700,2.683708
optimized,3500,4085115400,2.091364
optimized,4500,6327747400,1.959423
optimized,4000,7667908200,3.005269
optimized,4500,8016240000,2.482275
optimized,1000,386911000,2.430116
optimized,2500,2780157000,2.790431
optimized,3000,3643700000,2.539374
optimized,4000,6202097600,2.430777
optimized,2000,1603166500,2.514468
optimized,4000,5966730400,2.338530
optimized,2500,2270296600,2.278687
optimized,1500,798665800,2.227698
optimized,4500,7879047000,2.439792
optimized,3500,4345280900,2.224555
optimized,500,119960400,3.018601
optimized,2000,1640066600,2.572344
optimized,3000,3413453400,2.378910
optimized,2000,1433750800,2.248750
optimized,3500,3796529500,1.943623
optimized,3500,4055034100,2.075964
optimized,500,52035900,1.309395
optimized,4500,6393500300,1.979784
optimized,3000,2518150500,1.754954
optimized,5000,8571267100,2.149629
optimized,4000,4480809600,1.756155
optimized,500,115272900,2.900648
optimized,5000,7553187400,1.894300
optimized,3000,3545040400,2.470616
optimized,1000,407165700,2.557332
optimized,5000,7622246300,1.911619
optimized,4000,4399262200,1.724195
optimized,2000,886253500,1.390034
optimized,5000,7731805300,1.939096
optimized,3500,3462760700,1.772751
optimized,5000,6598581100,1.654890
optimized,4000,4986780200,1.954460
optimized,1500,774504900,2.160307
optimized,3500,3530835900,1.807602
